GENERATION;AVERAGE;MAX POINTS;AGGREGATED HEIGHT;COMPLETE LINES;HOLES;BUMPINESS
98;0.979592;64440;0.132802;0.104562;-0.344799;-0.0387222
99;0.240478;103700;0.132802;0.280139;-0.344799;-0.0387222
100;0.237923;86720;0.132802;0.280139;-0.344799;-0.0387222
101;0.846008;34640;0.132802;0.104562;-0.472645;-0.0387222
102;0.732691;105580;0.132802;0.104562;-0.344799;-0.0387222
103;0.751902;172340;0.132802;0.104562;-0.344799;-0.0387222
104;0.246834;196740;0.132802;0.228071;-0.344799;-0.0387222
105;0.630637;179580;0.132802;0.104562;-0.344799;-0.0387222
106;0.311551;81200;0.132802;0.280139;-0.338201;-0.0387222
107;0.476081;105440;0.132802;0.40991;-0.338201;-0.0387222
108;0.770458;209080;0.132802;0.280139;-0.344799;-0.0387222
109;0.341179;118620;0.132802;0.40991;-0.338201;-0.0387222
110;0.50134;210160;0.132802;0.280139;-0.338201;-0.0387222
111;0.771633;227380;0.132802;0.103809;-0.344799;-0.0387222
112;0.851382;126260;0.132802;0.280139;-0.344799;-0.0387222
113;0.367086;75240;0.132802;0.415733;-0.344799;-0.0387222
114;0.70984;57020;0.132802;0.280139;-0.344799;-0.0387222
115;0.745729;19640;-0.318292;0.280139;-0.344799;-0.0387222
116;0.801176;132660;0.132802;0.00404698;-0.338201;-0.0387222
117;0.621364;104600;0.132802;0.280139;-0.338201;-0.0387222
118;0.229062;42940;0.132802;0.190356;-0.344799;-0.0387222
